#: table_doi: 10.17182/hepdata.78365.v1/t1
#: name: DN/DETARAP
#: description: Charged-particle pseudorapidity density for ten centrality classes over a broad $\eta$ range in Pb-Pb collisions at $\sqrt{s_{_{\mathrm{NN}}}}=5.02\,\mathrm{TeV}$. Boxes around the points reflect the total uncorrelated systematic uncertainties, while the filled squares on the right reflect the correlated systematic uncertainty (evaluated at $\eta=0$). Statistical errors are generally insignificant and smaller than the markers.  Also shown is the reflection of the $3.5<\eta<5$ values around $\eta=0$ (open circles).  The line corresponds to fits of the difference between two Gaussians centred at $\eta=0$ ($f_{\text{GG}}$) [PLB754.373] to the data.

#: data_file: Table1.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword cmenergies: 5023.0
#: SYS,,,Centrality,,,,
#: Centrality [PCT],,,0.5
#: EM contamination [PCT],,,0
#: CENTRALITY [PCT],,,0.0-5.0
$\eta$,$\eta$ LOW,$\eta$ HIGH,$\mathrm{d}N_{\mathrm{ch}}/\mathrm{d}\eta$,stat +,stat -,sys +,sys -
-3.375,-3.5,-3.25,1643.0,3.0,-3.0,74.0,-74.0
-3.125,-3.25,-3.0,1670.0,1.0,-1.0,75.0,-75.0
-2.875,-3.0,-2.75,1718.0,1.0,-1.0,77.0,-77.0
-2.625,-2.75,-2.5,1787.0,1.0,-1.0,81.0,-81.0
-2.375,-2.5,-2.25,1835.0,1.0,-1.0,83.0,-83.0
-2.125,-2.25,-2.0,1912.0,1.0,-1.0,86.0,-86.0
-1.875,-2.0,-1.75,1968.0,1.0,-1.0,64.0,-64.0
-1.625,-1.75,-1.5,2001.0,2.0,-2.0,80.0,-80.0
-1.375,-1.5,-1.25,2021.0,1.0,-1.0,71.0,-71.0
-1.125,-1.25,-1.0,2017.0,1.0,-1.0,64.0,-64.0
-0.875,-1.0,-0.75,1995.0,1.0,-1.0,56.0,-56.0
-0.625,-0.75,-0.5,1970.0,1.0,-1.0,52.0,-52.0
-0.375,-0.5,-0.25,1943.0,1.0,-1.0,47.0,-47.0
-0.125,-0.25,0.0,1929.0,1.0,-1.0,46.0,-46.0
0.125,0.0,0.25,1929.0,1.0,-1.0,46.0,-46.0
0.375,0.25,0.5,1943.0,1.0,-1.0,47.0,-47.0
0.625,0.5,0.75,1970.0,1.0,-1.0,52.0,-52.0
0.875,0.75,1.0,1995.0,1.0,-1.0,56.0,-56.0
1.125,1.0,1.25,2017.0,1.0,-1.0,64.0,-64.0
1.375,1.25,1.5,2021.0,1.0,-1.0,71.0,-71.0
1.625,1.5,1.75,2001.0,2.0,-2.0,80.0,-80.0
1.875,1.75,2.0,1968.0,1.0,-1.0,64.0,-64.0
2.125,2.0,2.25,1912.0,1.0,-1.0,86.0,-86.0
2.375,2.25,2.5,1835.0,1.0,-1.0,83.0,-83.0
2.625,2.5,2.75,1787.0,1.0,-1.0,81.0,-81.0
2.875,2.75,3.0,1718.0,1.0,-1.0,77.0,-77.0
3.125,3.0,3.25,1670.0,1.0,-1.0,75.0,-75.0
3.375,3.25,3.5,1643.0,3.0,-3.0,74.0,-74.0
3.625,3.5,3.75,1563.0,2.0,-2.0,103.0,-106.0
3.875,3.75,4.0,1474.0,1.0,-1.0,97.0,-100.0
4.125,4.0,4.25,1370.0,1.0,-1.0,90.0,-93.0
4.375,4.25,4.5,1324.0,1.0,-1.0,87.0,-90.0
4.625,4.5,4.75,1281.0,1.0,-1.0,84.0,-87.0
4.875,4.75,5.0,1244.0,1.0,-1.0,82.0,-85.0

#: SYS,,,Centrality,,,,
#: Centrality [PCT],,,1.0
#: EM contamination [PCT],,,0
#: CENTRALITY [PCT],,,5.0-10.0
$\eta$,$\eta$ LOW,$\eta$ HIGH,$\mathrm{d}N_{\mathrm{ch}}/\mathrm{d}\eta$,stat +,stat -,sys +,sys -
-3.375,-3.5,-3.25,1364.0,2.0,-2.0,62.0,-62.0
-3.125,-3.25,-3.0,1391.0,1.0,-1.0,63.0,-63.0
-2.875,-3.0,-2.75,1424.0,1.0,-1.0,64.0,-64.0
-2.625,-2.75,-2.5,1474.0,1.0,-1.0,67.0,-67.0
-2.375,-2.5,-2.25,1507.0,1.0,-1.0,68.0,-68.0
-2.125,-2.25,-2.0,1569.0,1.0,-1.0,71.0,-71.0
-1.875,-2.0,-1.75,1644.0,1.0,-1.0,53.0,-53.0
-1.625,-1.75,-1.5,1679.0,2.0,-2.0,67.0,-67.0
-1.375,-1.5,-1.25,1682.0,1.0,-1.0,59.0,-59.0
-1.125,-1.25,-1.0,1672.0,1.0,-1.0,52.0,-52.0
-0.875,-1.0,-0.75,1646.0,1.0,-1.0,47.0,-47.0
-0.625,-0.75,-0.5,1621.0,1.0,-1.0,42.0,-42.0
-0.375,-0.5,-0.25,1597.0,1.0,-1.0,39.0,-39.0
-0.125,-0.25,0.0,1583.0,1.0,-1.0,37.0,-37.0
0.125,0.0,0.25,1583.0,1.0,-1.0,37.0,-37.0
0.375,0.25,0.5,1597.0,1.0,-1.0,39.0,-39.0
0.625,0.5,0.75,1621.0,1.0,-1.0,42.0,-42.0
0.875,0.75,1.0,1646.0,1.0,-1.0,47.0,-47.0
1.125,1.0,1.25,1672.0,1.0,-1.0,52.0,-52.0
1.375,1.25,1.5,1682.0,1.0,-1.0,59.0,-59.0
1.625,1.5,1.75,1679.0,2.0,-2.0,67.0,-67.0
