#: table_doi: 10.17182/hepdata.146722.v1/t2
#: name: Table 2
#: description: $v_{3}\{2\}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{Pb}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab2.yaml
#: keyword reactions: PB PB --> CHARGED
#: keyword observables: V_3_2 | V_3_2 | V_3_2 | V_3_2 | V_3_2 | V_3_2 | V_3_2
#: keyword cmenergies: 5023
#: keyword phrases: Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: HARMONIC,,,3
#: CORRELATOR,,,2
#: ETARAP GAP,,,(0.8, 2.6)
#: CENTRALITY [PCT],,,0 TO 5
ETARAP,ETARAP LOW,ETARAP HIGH,V_3_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0133,0.0002,-0.0002,0.0011,-0.0011
-3.0,-3.12,-2.88,0.0133,0.0002,-0.0002,0.0009,-0.0009
-2.76,-2.88,-2.64,0.0135,0.0002,-0.0002,0.0009,-0.0009
-2.52,-2.64,-2.4,0.014,0.0002,-0.0002,0.0008,-0.0008
-2.2800000000000002,-2.4,-2.16,0.0139,0.0002,-0.0002,0.0008,-0.0008
-2.04,-2.16,-1.92,0.0157,0.0002,-0.0002,0.0009,-0.0009
-1.7999999999999998,-1.92,-1.68,0.0158,0.0002,-0.0002,0.001,-0.001
-1.08,-1.2,-0.96,0.0167,0.0004,-0.0004,0.0007,-0.0007
-0.84,-0.96,-0.72,0.01714,8e-05,-8e-05,0.00067,-0.00067
-0.6,-0.72,-0.48,0.0176,0.0001,-0.0001,0.0007,-0.0007
-0.36,-0.48,-0.24,0.0178,0.0002,-0.0002,0.0007,-0.0007
-0.12,-0.24,0.0,0.0184,0.0001,-0.0001,0.0007,-0.0007
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0184,0.0001,-0.0001,0.0007,-0.0007
0.36,0.24,0.48,0.0178,0.0002,-0.0002,0.0007,-0.0007
0.6,0.48,0.72,0.0176,0.0001,-0.0001,0.0007,-0.0007
0.84,0.72,0.96,0.01714,8e-05,-8e-05,0.00067,-0.00067
1.08,0.96,1.2,0.0167,0.0004,-0.0004,0.0007,-0.0007
1.7999999999999998,1.68,1.92,0.0158,0.0002,-0.0002,0.001,-0.001
2.04,1.92,2.16,0.0157,0.0002,-0.0002,0.0009,-0.0009
2.2800000000000002,2.16,2.4,0.0139,0.0002,-0.0002,0.0008,-0.0008
2.52,2.4,2.64,0.014,0.0002,-0.0002,0.0008,-0.0008
2.76,2.64,2.88,0.0135,0.0002,-0.0002,0.0008,-0.0008
3.0,2.88,3.12,0.0133,0.0002,-0.0002,0.0008,-0.0008
3.24,3.12,3.36,0.0133,0.0002,-0.0002,0.0008,-0.0008
